wav_id,left_channel,right_channel
2012-03-01-k,FNL520,
2008-12-07-m,FNL520,
2008-12-07-u,FNL520,
2012-03-02-s,FNL520,
2008-12-07-r,FNL520,
2008-12-07-s,FNL520,
2008-12-07-q,FNL520,
2008-12-07-k,FNL520,
2008-12-07-l,FNL520,
2008-12-07-j,FNL520,
2012-03-01-i,FNL520,
2008-12-07-p,FNL520,
2008-12-07-i,FNL520,
2012-03-01-s,FNL520,
2008-12-07-n,FNL520,
2008-12-07-t,FNL520,
2009-11-01-h,PVG518,
2009-11-01-i,PVG518,
2009-11-26-c,PVG518,
2009-11-26-b,PVG518,
2009-11-26-a,PVG518,
2010-12-16-k,ZGS507,
2012-10-29-f,MSG516,RCG500
2012-03-02-t,SGB508,
2009-12-27-b,LGS514,
2012-03-03-b,SCT522,
2012-03-03-k,CTB501,
2012-10-28-g,AGR524,
2012-03-02-i,SGB508,
2010-12-16-s,ZGS507,
2012-03-03-j,MFG512,
2008-10-28-n,VRR504,
2012-03-02-n,FNL520,
2012-03-02-h,SGB508,
2010-12-16-j,ZGS507,
2017-01-06-e,DVP553,
2008-10-28-g,VRR504,
2008-10-28-b,VRR504,
2008-12-04-e,VRR504,
2008-10-28-a,VRR504,
2010-12-15-p,VRR504,
2008-12-04-f,VRR504,
2008-10-28-k,VRR504,
2008-12-04-p,VRR504,
2008-12-04-k,VRR504,
2008-10-28-e,VRR504,
2008-10-28-i,VRR504,
2008-12-04-g,VRR504,
2008-12-04-c,VRR504,
2008-12-04-m,VRR504,
2008-12-04-n,VRR504,
2008-10-28-f,VRR504,
2008-12-04-a,VRR504,
2008-10-28-h,VRR504,
2008-12-04-l,VRR504,
2008-12-04-h,VRR504,
2008-10-28-p,VRR504,
2008-10-28-j,VRR504,
2008-10-28-q,VRR504,
2008-12-04-i,VRR504,
2013-03-27-k,RFM525,
2013-03-28-g,RFM525,
2017-01-10-g,RCG500,
2017-01-10-c,RCG500,
2017-01-10-f,RCG500,
2017-01-10-e,RCG500,
2017-01-10-a,RCG500,
2017-01-10-b,RCG500,
2010-12-15-a,CTB501,
2009-11-26-g,CTB501,
2008-11-15-a,CTB501,
2008-11-15-i,CTB501,
2009-11-26-n,CTB501,
2008-11-15-k,CTB501,
2009-11-26-j,CTB501,
