2024-02-15:18:42:40,547 INFO     [seglst.py:342] Applied uem and reduced SegLST from 6644 to 6644 segments.
2024-02-15:18:42:40,549 INFO     [seglst.py:342] Applied uem and reduced SegLST from 3417 to 3417 segments.
2024-02-15:18:42:51,798 INFO     [seglst.py:342] Applied uem and reduced SegLST from 5880 to 5880 segments.
2024-02-15:18:42:51,800 INFO     [seglst.py:342] Applied uem and reduced SegLST from 5471 to 5471 segments.
2024-02-15:18:42:54,564 INFO     [seglst.py:342] Applied uem and reduced SegLST from 2294 to 2294 segments.
2024-02-15:18:42:54,564 INFO     [seglst.py:342] Applied uem and reduced SegLST from 1238 to 1238 segments.
###############################################################################
### cpWER for dev chime6 Scenario #############################################
###############################################################################
+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
| session_id   |   error_rate |   errors |   length |   insertions |   deletions |   substitutions |   missed_speaker |   falarm_speaker |   scored_speaker |
|--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------|
| S02          |     0.744489 |    29044 |    39012 |         7004 |       14695 |            7345 |                0 |                4 |                4 |
| S09          |     0.78375  |    18868 |    24074 |         2295 |       11323 |            5250 |                0 |                1 |                4 |
+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
###############################################################################
### cpWER for dev mixer6 Scenario #############################################
###############################################################################
+----------------------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
| session_id                 |   error_rate |   errors |   length |   insertions |   deletions |   substitutions |   missed_speaker |   falarm_speaker |   scored_speaker |
|----------------------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------|
| 20090923_175046_LDC_120534 |     0.258902 |      618 |     2387 |          111 |         235 |             272 |                0 |                1 |                2 |
| 20090901_144456_LDC_120302 |     0.311099 |      569 |     1829 |          126 |         187 |             256 |                0 |                0 |                2 |
| 20090807_143559_LDC_120338 |     0.326095 |      916 |     2809 |          106 |         344 |             466 |                0 |                1 |                2 |
| 20090901_104119_LDC_120454 |     0.309898 |      670 |     2162 |           87 |         283 |             300 |                0 |                1 |                2 |
| 20090812_145955_LDC_120271 |     0.276596 |      663 |     2397 |          105 |         255 |             303 |                0 |                0 |                2 |
| 20090804_165853_LDC_120269 |     0.291416 |      774 |     2656 |          135 |         302 |             337 |                0 |                1 |                2 |
| 20090921_185254_LDC_120562 |     0.270741 |      731 |     2700 |          163 |         213 |             355 |                0 |                1 |                2 |
| 20090723_111806_LDC_120290 |     0.21828  |      523 |     2396 |           89 |         154 |             280 |                0 |                0 |                2 |
| 20100127_140351_LDC_120855 |     0.432034 |     1408 |     3259 |          405 |         334 |             669 |                0 |                1 |                2 |
| 20090910_090618_LDC_120302 |     0.216762 |      419 |     1933 |           46 |         168 |             205 |                0 |                1 |                2 |
| 20091029_175951_LDC_120651 |     0.357098 |     1137 |     3184 |          328 |         196 |             613 |                0 |                1 |                2 |
| 20090917_114202_LDC_120503 |     0.299304 |      903 |     3017 |          117 |         285 |             501 |                0 |                1 |                2 |
| 20090803_111429_LDC_120225 |     0.265263 |      756 |     2850 |          156 |         245 |             355 |                0 |                0 |                2 |
| 20090914_125705_LDC_120354 |     0.228618 |      556 |     2432 |          117 |         166 |             273 |                0 |                0 |                2 |
| 20090828_090157_LDC_120217 |     0.207193 |      530 |     2558 |           57 |         200 |             273 |                0 |                1 |                2 |
| 20090814_111319_LDC_120278 |     0.281204 |      766 |     2724 |          201 |         193 |             372 |                0 |                1 |                2 |
| 20090722_115429_LDC_120271 |     0.210412 |      582 |     2766 |           58 |         276 |             248 |                0 |                0 |                2 |
| 20090904_090947_LDC_120217 |     0.302814 |      764 |     2523 |          144 |         319 |             301 |                0 |                1 |                2 |
| 20090714_134807_LDC_120290 |     0.308697 |      756 |     2449 |           87 |         175 |             494 |                0 |                0 |                2 |
| 20090716_155120_LDC_120269 |     0.286996 |      704 |     2453 |          107 |         200 |             397 |                0 |                0 |                2 |
