mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
3781-156973-0033_1417-1539-0010,3781.0,F,1417.0,F
2853-164187-0057_369-125882-0022,2853.0,F,369.0,M
3686-171134-0033_6286-75355-0007,3686.0,M,6286.0,F
6082-56174-0043_2348-143895-0050,6082.0,F,2348.0,F
6643-67851-0004_4967-3586-0019,6643.0,F,4967.0,F
6160-44912-0038_22-121140-0028,6160.0,F,22.0,F
4044-9010-0102_8388-275212-0018,4044.0,F,8388.0,F
8225-274375-0021_2299-6525-0087,8225.0,M,2299.0,M
5290-39475-0039_79-121541-0009,5290.0,F,79.0,F
5746-48362-0002_8545-287671-0040,5746.0,M,8545.0,F
4967-28868-0023_7437-99249-0017,4967.0,F,7437.0,M
3922-723-0014_3185-163505-0048,3922.0,F,3185.0,M
5740-97610-0028_8643-298549-0054,5740.0,F,8643.0,M
1401-14358-0009_2992-164101-0001,1401.0,F,2992.0,M
7285-72207-0034_7241-90850-0010,7285.0,F,7241.0,M
2787-157400-0002_335-125943-0028,2787.0,M,335.0,M
512-124520-0017_6553-86683-0005,512.0,M,6553.0,M
454-134728-0018_210-129396-0180,454.0,M,210.0,M
464-126794-0045_6494-60774-0025,464.0,M,6494.0,M
4973-24515-0002_7938-109180-0001,4973.0,M,7938.0,M
6115-58776-0011_1226-141279-0037,6115.0,M,1226.0,M
5126-27504-0048_3989-182402-0022,5126.0,M,3989.0,M
1827-143625-0001_340-124368-0034,1827.0,M,340.0,M
7789-258266-0042_6406-89940-0022,7789.0,F,6406.0,F
594-127731-0011_2411-132532-0006,594.0,M,2411.0,F
3224-168198-0010_4629-19366-0066,3224.0,F,4629.0,M
8138-287657-0005_7395-89880-0002,8138.0,M,7395.0,F
166-122789-0037_3927-6556-0021,166.0,F,3927.0,M
5147-32136-0003_9022-282357-0014,5147.0,M,9022.0,F
583-139009-0048_1776-139035-0033,583.0,M,1776.0,M
8410-278217-0039_1058-131113-0024,8410.0,F,1058.0,M
7991-102381-0114_3790-140725-0005,7991.0,M,3790.0,F
5139-30106-0019_5039-1188-0006,5139.0,F,5039.0,F
79-121541-0034_4133-6541-0045,79.0,F,4133.0,M
9022-282357-0057_7229-80665-0023,9022.0,F,7229.0,F
5776-46889-0096_589-146346-0025,5776.0,M,589.0,F
7704-106974-0032_7594-91192-0012,7704.0,M,7594.0,F
8494-244431-0029_6269-66176-0016,8494.0,M,6269.0,M
7555-101283-0023_55-121068-0047,7555.0,F,55.0,M
1571-141320-0006_5157-47237-0015,1571.0,M,5157.0,M
5984-56837-0005_8687-216570-0051,5984.0,F,8687.0,M
8008-271811-0017_4044-9010-0006,8008.0,M,4044.0,F
8006-112593-0030_2397-162238-0002,8006.0,M,2397.0,M
664-129011-0103_699-132864-0036,664.0,F,699.0,F
6099-69550-0029_5731-50778-0035,6099.0,F,5731.0,F
2149-8912-0038_4152-5710-0028,2149.0,M,4152.0,M
1379-130530-0006_2060-150843-0033,1379.0,M,2060.0,F
3092-39501-0034_3922-715-0033,3092.0,F,3922.0,F
2230-132101-0013_3864-185125-0004,2230.0,F,3864.0,M
2573-178450-0037_8057-284428-0018,2573.0,F,8057.0,F
497-129325-0045_8113-301693-0009,497.0,M,8113.0,F
1974-139741-0052_4064-12118-0024,1974.0,F,4064.0,F
81-121543-0026_434-132645-0003,81.0,M,434.0,F
100-122655-0025_1259-27120-0021,100.0,F,1259.0,F
8786-276749-0036_3361-1150-0013,8786.0,M,3361.0,F
6727-10344-0023_7445-94522-0026,6727.0,M,7445.0,F
8464-282934-0018_3092-39501-0101,8464.0,M,3092.0,F
122-121730-0016_5909-287837-0000,122.0,M,5909.0,M
479-126480-0019_2774-131722-0040,479.0,F,2774.0,M
6215-62347-0064_6696-68773-0027,6215.0,F,6696.0,F
4133-6541-0018_7241-90850-0022,4133.0,M,7241.0,M
3370-163384-0007_6673-72311-0044,3370.0,M,6673.0,F
6956-81870-0042_5604-26987-0001,6956.0,M,5604.0,F
8222-274378-0027_639-143022-0015,8222.0,M,639.0,M
5724-13364-0047_5029-80197-0022,5724.0,F,5029.0,F
1264-135033-0017_3361-1133-0037,1264.0,M,3361.0,F
596-127685-0002_1638-84447-0008,596.0,F,1638.0,M
1379-130529-0003_7555-101283-0037,1379.0,M,7555.0,F
2162-181961-0033_9022-282383-0032,2162.0,M,9022.0,F
2194-141248-0034_868-131295-0023,2194.0,F,868.0,M
5400-34479-0005_4973-24515-0007,5400.0,F,4973.0,M
7959-109176-0011_4331-57179-0044,7959.0,F,4331.0,F
6294-86679-0021_979-128678-0016,6294.0,M,979.0,F
8791-291101-0024_8591-284444-0027,8791.0,M,8591.0,F
90-130566-0020_7832-258250-0019,90.0,M,7832.0,M
7825-258970-0041_4438-48525-0012,7825.0,M,4438.0,M
5727-47032-0014_3389-13250-0023,5727.0,M,3389.0,M
7481-101276-0079_1018-133447-0014,7481.0,F,1018.0,M
1383-130533-0036_1776-139035-0045,1383.0,M,1776.0,M
4846-18524-0073_7000-83696-0022,4846.0,F,7000.0,M
240-160593-0018_288-131220-0009,240.0,M,288.0,F
5261-19373-0033_6006-60480-0005,5261.0,M,6006.0,F
816-53638-0014_8705-290363-0002,816.0,M,8705.0,M
2294-161714-0010_1509-143477-0012,2294.0,M,1509.0,F
112-121727-0001_4592-22179-0021,112.0,F,4592.0,F
7933-113273-0045_3389-13247-0005,7933.0,F,3389.0,M
3389-13247-0017_2499-156154-0013,3389.0,M,2499.0,M
5206-19376-0038_2093-143264-0021,5206.0,M,2093.0,M
119-129513-0033_7126-59167-0011,119.0,M,7126.0,M
4681-13056-0072_175-127696-0008,4681.0,M,175.0,F
192-128344-0014_7538-100045-0007,192.0,F,7538.0,M
7962-110061-0025_3370-163384-0004,7962.0,F,3370.0,M
7294-86026-0016_23-124439-0077,7294.0,F,23.0,F
4535-279852-0032_3852-175448-0011,4535.0,M,3852.0,F
5968-55202-0004_3389-13250-0001,5968.0,F,3389.0,M
240-144999-0015_7383-95441-0035,240.0,M,7383.0,F
210-129396-0096_2039-141209-0018,210.0,M,2039.0,M
1668-136271-0003_176-123269-0037,1668.0,F,176.0,M
4598-2503-0047_408-122806-0004,4598.0,F,408.0,F
6352-83633-0031_559-289453-0014,6352.0,F,559.0,M
100-121674-0038_8410-278217-0025,100.0,F,8410.0,F
5570-73848-0017_1365-134804-0031,5570.0,F,1365.0,M
5746-48362-0021_850-131003-0034,5746.0,M,850.0,M
3717-178149-0030_3361-1133-0007,3717.0,M,3361.0,F
716-129581-0000_1348-135826-0030,716.0,M,1348.0,F
3905-172165-0057_1066-103481-0024,3905.0,F,1066.0,F
2093-143264-0037_2573-178450-0025,2093.0,M,2573.0,F
5062-294697-0039_3493-46712-0008,5062.0,F,3493.0,F
2577-157236-0002_637-127595-0000,2577.0,F,637.0,M
38-121024-0061_6139-58868-0024,38.0,M,6139.0,F
548-126961-0007_3221-9174-0049,548.0,M,3221.0,M
3851-9210-0037_7909-106369-0002,3851.0,F,7909.0,M
3347-134420-0051_8190-284435-0007,3347.0,F,8190.0,F
612-121760-0021_6037-59234-0004,612.0,F,6037.0,M
