timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, clocks.current.sm [MHz]
2026/08/28 18:45:15.837, 0, 70.66, 0, 0, 1, 34, 345
2026/08/28 18:45:15.837, 1, 69.58, 0, 0, 1, 30, 345
2026/08/28 18:45:15.837, 2, 71.96, 0, 0, 1, 29, 345
2026/08/28 18:45:15.837, 3, 71.30, 0, 0, 1, 33, 345
2026/08/28 18:45:15.837, 4, 72.14, 0, 0, 1, 35, 345
2026/08/28 18:45:15.838, 5, 71.28, 0, 0, 1, 31, 345
2026/08/28 18:45:15.838, 6, 72.17, 0, 0, 1, 33, 345
2026/08/28 18:45:15.838, 7, 73.41, 0, 0, 1, 29, 345
2026/08/28 18:45:20.839, 0, 70.62, 0, 0, 1, 34, 345
2026/08/28 18:45:20.839, 1, 69.57, 0, 0, 1, 30, 345
2026/08/28 18:45:20.839, 2, 71.95, 0, 0, 1, 29, 345
2026/08/28 18:45:20.839, 3, 71.25, 0, 0, 1, 33, 345
2026/08/28 18:45:20.839, 4, 72.15, 0, 0, 1, 35, 345
2026/08/28 18:45:20.839, 5, 71.28, 0, 0, 1, 31, 345
2026/08/28 18:45:20.839, 6, 72.19, 0, 0, 1, 33, 345
2026/08/28 18:45:20.839, 7, 73.26, 0, 0, 1, 29, 345
2026/08/28 18:45:25.839, 0, 70.62, 0, 0, 4, 34, 345
2026/08/28 18:45:25.839, 1, 69.62, 0, 0, 4, 30, 345
2026/08/28 18:45:25.839, 2, 71.96, 0, 0, 4, 29, 345
2026/08/28 18:45:25.839, 3, 71.27, 0, 0, 4, 33, 345
2026/08/28 18:45:25.839, 4, 72.13, 0, 0, 4, 35, 345
2026/08/28 18:45:25.839, 5, 71.27, 0, 0, 4, 31, 345
2026/08/28 18:45:25.839, 6, 72.18, 0, 0, 4, 33, 345
2026/08/28 18:45:25.840, 7, 73.34, 0, 0, 4, 29, 345
2026/08/28 18:45:30.840, 0, 70.59, 0, 0, 4, 34, 345
2026/08/28 18:45:30.840, 1, 69.60, 0, 0, 4, 30, 345
2026/08/28 18:45:30.840, 2, 71.96, 0, 0, 4, 29, 345
2026/08/28 18:45:30.840, 3, 71.26, 0, 0, 4, 33, 345
2026/08/28 18:45:30.840, 4, 72.14, 0, 0, 4, 35, 345
2026/08/28 18:45:30.840, 5, 71.29, 0, 0, 4, 31, 345
2026/08/28 18:45:30.840, 6, 72.16, 0, 0, 4, 33, 345
2026/08/28 18:45:30.840, 7, 73.45, 0, 0, 4, 29, 345
2026/08/28 18:45:35.840, 0, 70.61, 0, 0, 4, 34, 345
2026/08/28 18:45:35.846, 1, 69.59, 0, 0, 4, 30, 345
2026/08/28 18:45:35.848, 2, 71.97, 0, 0, 4, 29, 345
2026/08/28 18:45:35.852, 3, 71.23, 0, 0, 4, 33, 345
2026/08/28 18:45:35.854, 4, 72.11, 0, 0, 4, 35, 345
2026/08/28 18:45:35.855, 5, 71.29, 0, 0, 4, 31, 345
2026/08/28 18:45:35.856, 6, 72.14, 0, 0, 4, 33, 345
2026/08/28 18:45:35.858, 7, 73.35, 0, 0, 4, 29, 345
2026/08/28 18:45:40.859, 0, 70.61, 0, 0, 4, 34, 345
2026/08/28 18:45:40.859, 1, 69.59, 0, 0, 4, 30, 345
2026/08/28 18:45:40.859, 2, 71.94, 0, 0, 4, 29, 345
2026/08/28 18:45:40.859, 3, 71.24, 0, 0, 4, 33, 345
2026/08/28 18:45:40.859, 4, 72.07, 0, 0, 4, 35, 345
2026/08/28 18:45:40.859, 5, 71.30, 0, 0, 4, 31, 345
2026/08/28 18:45:40.859, 6, 72.13, 0, 0, 4, 33, 345
2026/08/28 18:45:40.859, 7, 73.26, 0, 0, 4, 29, 345
2026/08/28 18:45:45.860, 0, 120.79, 0, 0, 530, 35, 1980
2026/08/28 18:45:45.860, 1, 115.10, 0, 0, 530, 31, 1980
2026/08/28 18:45:45.860, 2, 115.38, 0, 0, 530, 30, 1980
2026/08/28 18:45:45.860, 3, 120.31, 0, 0, 530, 34, 1980
2026/08/28 18:45:45.860, 4, 119.20, 0, 0, 530, 36, 1980
2026/08/28 18:45:45.860, 5, 118.71, 0, 0, 530, 33, 1980
2026/08/28 18:45:45.860, 6, 120.37, 0, 0, 530, 34, 1980
2026/08/28 18:45:45.860, 7, 121.82, 0, 0, 530, 30, 1980
2026/08/28 18:45:50.860, 0, 121.05, 0, 0, 1948, 35, 1980
2026/08/28 18:45:50.869, 1, 115.38, 9, 0, 1948, 32, 1980
2026/08/28 18:45:50.877, 2, 115.62, 10, 0, 1948, 31, 1980
2026/08/28 18:45:50.877, 3, 119.97, 0, 0, 1948, 34, 1980
2026/08/28 18:45:50.878, 4, 119.49, 3, 0, 1814, 36, 1980
2026/08/28 18:45:50.884, 5, 119.02, 0, 0, 1948, 33, 1980
2026/08/28 18:45:50.892, 6, 120.61, 1, 0, 1948, 34, 1980
2026/08/28 18:45:50.900, 7, 122.10, 0, 0, 1948, 31, 1980
2026/08/28 18:45:55.908, 0, 121.22, 0, 0, 3944, 35, 1980
2026/08/28 18:45:55.908, 1, 115.45, 0, 0, 3944, 32, 1980
2026/08/28 18:45:55.908, 2, 115.72, 0, 0, 3944, 31, 1980
2026/08/28 18:45:55.908, 3, 120.00, 0, 0, 3944, 35, 1980
2026/08/28 18:45:55.908, 4, 119.61, 0, 0, 3944, 37, 1980
2026/08/28 18:45:55.908, 5, 119.13, 0, 0, 3944, 33, 1980
2026/08/28 18:45:55.908, 6, 120.75, 0, 0, 3944, 34, 1980
2026/08/28 18:45:55.908, 7, 122.34, 0, 0, 3944, 31, 1980
2026/08/28 18:46:00.909, 0, 121.32, 0, 0, 3944, 35, 1980
2026/08/28 18:46:00.911, 1, 115.56, 0, 0, 3944, 32, 1980
2026/08/28 18:46:00.912, 2, 115.88, 0, 0, 3944, 31, 1980
2026/08/28 18:46:00.913, 3, 120.15, 0, 0, 3944, 35, 1980
2026/08/28 18:46:00.914, 4, 119.80, 0, 0, 3944, 37, 1980
2026/08/28 18:46:00.915, 5, 119.25, 0, 0, 3944, 33, 1980
2026/08/28 18:46:00.916, 6, 120.94, 0, 0, 3944, 34, 1980
2026/08/28 18:46:00.918, 7, 122.33, 0, 0, 3944, 31, 1980
2026/08/28 18:46:05.918, 0, 121.37, 0, 0, 3944, 36, 1980
2026/08/28 18:46:05.918, 1, 115.61, 0, 0, 3944, 32, 1980
2026/08/28 18:46:05.918, 2, 116.55, 0, 0, 3944, 31, 1980
2026/08/28 18:46:05.918, 3, 120.24, 0, 0, 3944, 35, 1980
2026/08/28 18:46:05.918, 4, 119.80, 0, 0, 3944, 37, 1980
2026/08/28 18:46:05.918, 5, 119.27, 0, 0, 3944, 34, 1980
2026/08/28 18:46:05.918, 6, 120.98, 0, 0, 3944, 34, 1980
2026/08/28 18:46:05.918, 7, 122.40, 0, 0, 3944, 31, 1980
2026/08/28 18:46:10.919, 0, 121.47, 0, 0, 3944, 36, 1980
2026/08/28 18:46:10.919, 1, 115.64, 0, 0, 3944, 32, 1980
2026/08/28 18:46:10.919, 2, 116.62, 0, 0, 3944, 31, 1980
2026/08/28 18:46:10.919, 3, 120.34, 0, 0, 3944, 35, 1980
2026/08/28 18:46:10.919, 4, 119.89, 0, 0, 3944, 37, 1980
2026/08/28 18:46:10.919, 5, 119.38, 0, 0, 3944, 34, 1980
2026/08/28 18:46:10.919, 6, 121.02, 0, 0, 3944, 35, 1980
2026/08/28 18:46:10.919, 7, 122.69, 0, 0, 3944, 31, 1980
2026/08/28 18:46:15.919, 0, 121.52, 0, 0, 3944, 36, 1980
2026/08/28 18:46:15.919, 1, 115.67, 0, 0, 3944, 32, 1980
2026/08/28 18:46:15.919, 2, 116.60, 0, 0, 3944, 31, 1980
2026/08/28 18:46:15.919, 3, 120.38, 0, 0, 3944, 35, 1980
2026/08/28 18:46:15.919, 4, 120.01, 0, 0, 3944, 37, 1980
2026/08/28 18:46:15.919, 5, 119.42, 0, 0, 3944, 34, 1980
2026/08/28 18:46:15.920, 6, 121.14, 0, 0, 3944, 35, 1980
2026/08/28 18:46:15.920, 7, 122.74, 0, 0, 3944, 32, 1980
2026/08/28 18:46:20.920, 0, 121.67, 0, 0, 3944, 36, 1980
2026/08/28 18:46:20.920, 1, 115.75, 0, 0, 3944, 32, 1980
2026/08/28 18:46:20.920, 2, 116.71, 0, 0, 3944, 31, 1980
2026/08/28 18:46:20.920, 3, 120.54, 0, 0, 3944, 35, 1980
2026/08/28 18:46:20.920, 4, 120.15, 0, 0, 3944, 37, 1980
2026/08/28 18:46:20.920, 5, 119.45, 0, 0, 3944, 34, 1980
2026/08/28 18:46:20.920, 6, 121.23, 0, 0, 3944, 35, 1980
2026/08/28 18:46:20.920, 7, 122.62, 0, 0, 3944, 32, 1980
2026/08/28 18:46:25.921, 0, 121.72, 0, 0, 3944, 36, 1980
2026/08/28 18:46:25.921, 1, 115.81, 0, 0, 3944, 32, 1980
2026/08/28 18:46:25.921, 2, 116.71, 0, 0, 3944, 32, 1980
2026/08/28 18:46:25.921, 3, 120.59, 0, 0, 3944, 36, 1980
2026/08/28 18:46:25.921, 4, 120.19, 0, 0, 3944, 38, 1980
2026/08/28 18:46:25.921, 5, 119.51, 0, 0, 3944, 34, 1980
2026/08/28 18:46:25.921, 6, 121.27, 0, 0, 3944, 35, 1980
2026/08/28 18:46:25.921, 7, 122.70, 0, 0, 3944, 32, 1980
2026/08/28 18:46:30.921, 0, 121.80, 0, 0, 3944, 37, 1980
2026/08/28 18:46:30.922, 1, 115.86, 0, 0, 3944, 33, 1980
2026/08/28 18:46:30.922, 2, 116.74, 0, 0, 3944, 32, 1980
2026/08/28 18:46:30.922, 3, 120.70, 0, 0, 3944, 36, 1980
2026/08/28 18:46:30.922, 4, 120.35, 0, 0, 3944, 38, 1980
2026/08/28 18:46:30.922, 5, 119.61, 0, 0, 3944, 34, 1980
2026/08/28 18:46:30.922, 6, 121.33, 0, 0, 3944, 35, 1980
2026/08/28 18:46:30.922, 7, 122.75, 0, 0, 3944, 32, 1980
2026/08/28 18:46:35.923, 0, 121.93, 0, 0, 3944, 37, 1980
2026/08/28 18:46:35.923, 1, 115.83, 0, 0, 3944, 33, 1980
2026/08/28 18:46:35.923, 2, 116.75, 0, 0, 3944, 32, 1980
2026/08/28 18:46:35.923, 3, 120.69, 0, 0, 3944, 36, 1980
2026/08/28 18:46:35.923, 4, 120.38, 0, 0, 3944, 38, 1980
2026/08/28 18:46:35.923, 5, 119.61, 0, 0, 3944, 34, 1980
2026/08/28 18:46:35.923, 6, 121.44, 0, 0, 3944, 35, 1980
2026/08/28 18:46:35.923, 7, 122.81, 0, 0, 3944, 32, 1980
2026/08/28 18:46:40.923, 0, 121.98, 0, 0, 3944, 37, 1980
2026/08/28 18:46:40.925, 1, 115.89, 0, 0, 3944, 33, 1980
2026/08/28 18:46:40.925, 2, 116.83, 0, 0, 3944, 32, 1980
2026/08/28 18:46:40.926, 3, 120.84, 0, 0, 3944, 36, 1980
2026/08/28 18:46:40.926, 4, 120.45, 0, 0, 3944, 38, 1980
2026/08/28 18:46:40.926, 5, 119.65, 0, 0, 3944, 34, 1980
2026/08/28 18:46:40.926, 6, 121.57, 0, 0, 3944, 35, 1980
2026/08/28 18:46:40.927, 7, 122.98, 0, 0, 3944, 32, 1980
2026/08/28 18:46:45.928, 0, 122.01, 0, 0, 3944, 37, 1980
2026/08/28 18:46:45.928, 1, 115.88, 0, 0, 3944, 33, 1980
2026/08/28 18:46:45.928, 2, 116.82, 0, 0, 3944, 32, 1980
2026/08/28 18:46:45.928, 3, 120.90, 0, 0, 3944, 36, 1980
2026/08/28 18:46:45.928, 4, 120.51, 0, 0, 3944, 38, 1980
2026/08/28 18:46:45.928, 5, 119.63, 0, 0, 3944, 34, 1980
2026/08/28 18:46:45.928, 6, 121.52, 0, 0, 3944, 36, 1980
2026/08/28 18:46:45.928, 7, 123.01, 0, 0, 3944, 32, 1980
2026/08/28 18:46:50.928, 0, 122.12, 0, 0, 3944, 37, 1980
2026/08/28 18:46:50.928, 1, 115.92, 0, 0, 3944, 33, 1980
