timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, clocks.current.sm [MHz]
2026/08/29 18:38:05.810, 0, 70.64, 0, 0, 1, 32, 345
2026/08/29 18:38:05.811, 1, 69.89, 0, 0, 1, 30, 345
2026/08/29 18:38:05.812, 2, 71.96, 0, 0, 1, 29, 345
2026/08/29 18:38:05.813, 3, 70.85, 0, 0, 1, 32, 345
2026/08/29 18:38:05.814, 4, 71.68, 0, 0, 1, 34, 345
2026/08/29 18:38:05.819, 5, 71.31, 0, 0, 1, 31, 345
2026/08/29 18:38:05.823, 6, 71.67, 0, 0, 1, 31, 345
2026/08/29 18:38:05.825, 7, 73.56, 0, 0, 1, 29, 345
2026/08/29 18:38:10.825, 0, 70.63, 0, 0, 1, 32, 345
2026/08/29 18:38:10.825, 1, 69.85, 0, 0, 1, 30, 345
2026/08/29 18:38:10.825, 2, 72.01, 0, 0, 1, 29, 345
2026/08/29 18:38:10.825, 3, 70.85, 0, 0, 1, 32, 345
2026/08/29 18:38:10.825, 4, 71.69, 0, 0, 1, 34, 345
2026/08/29 18:38:10.826, 5, 71.25, 0, 0, 1, 31, 345
2026/08/29 18:38:10.826, 6, 71.74, 0, 0, 1, 31, 345
2026/08/29 18:38:10.826, 7, 73.50, 0, 0, 1, 29, 345
2026/08/29 18:38:15.826, 0, 70.72, 0, 0, 4, 32, 345
2026/08/29 18:38:15.829, 1, 69.89, 0, 0, 4, 30, 345
2026/08/29 18:38:15.831, 2, 72.05, 0, 0, 4, 29, 345
2026/08/29 18:38:15.831, 3, 70.92, 0, 0, 4, 32, 345
2026/08/29 18:38:15.833, 4, 71.70, 0, 0, 4, 34, 345
2026/08/29 18:38:15.835, 5, 71.29, 0, 0, 1, 31, 345
2026/08/29 18:38:15.850, 6, 71.66, 0, 0, 1, 31, 345
2026/08/29 18:38:15.851, 7, 73.78, 0, 0, 1, 29, 345
2026/08/29 18:38:20.852, 0, 70.65, 0, 0, 4, 32, 345
2026/08/29 18:38:20.852, 1, 69.89, 0, 0, 4, 30, 345
2026/08/29 18:38:20.852, 2, 72.03, 0, 0, 4, 29, 345
2026/08/29 18:38:20.852, 3, 70.90, 0, 0, 4, 32, 345
2026/08/29 18:38:20.852, 4, 71.71, 0, 0, 4, 34, 345
2026/08/29 18:38:20.852, 5, 71.31, 0, 0, 4, 31, 345
2026/08/29 18:38:20.852, 6, 71.77, 0, 0, 4, 31, 345
2026/08/29 18:38:20.852, 7, 73.52, 0, 0, 4, 29, 345
2026/08/29 18:38:25.853, 0, 70.72, 0, 0, 4, 32, 345
2026/08/29 18:38:25.853, 1, 69.88, 0, 0, 4, 30, 345
2026/08/29 18:38:25.853, 2, 72.04, 0, 0, 4, 29, 345
2026/08/29 18:38:25.853, 3, 70.86, 0, 0, 4, 32, 345
2026/08/29 18:38:25.853, 4, 71.72, 0, 0, 4, 34, 345
2026/08/29 18:38:25.853, 5, 71.30, 0, 0, 4, 31, 345
2026/08/29 18:38:25.853, 6, 71.66, 0, 0, 4, 31, 345
2026/08/29 18:38:25.853, 7, 73.72, 0, 0, 4, 29, 345
2026/08/29 18:38:30.853, 0, 70.69, 0, 0, 4, 32, 345
2026/08/29 18:38:30.857, 1, 69.89, 0, 0, 4, 30, 345
2026/08/29 18:38:30.863, 2, 72.04, 0, 0, 4, 29, 345
2026/08/29 18:38:30.863, 3, 70.87, 0, 0, 4, 32, 345
2026/08/29 18:38:30.863, 4, 71.76, 0, 0, 4, 34, 345
2026/08/29 18:38:30.863, 5, 71.31, 0, 0, 4, 31, 345
2026/08/29 18:38:30.865, 6, 71.69, 0, 0, 4, 31, 345
2026/08/29 18:38:30.867, 7, 73.64, 0, 0, 4, 29, 345
2026/08/29 18:38:35.869, 0, 70.70, 0, 0, 4, 32, 345
2026/08/29 18:38:35.869, 1, 69.89, 0, 0, 4, 30, 345
2026/08/29 18:38:35.870, 2, 72.05, 0, 0, 4, 29, 345
2026/08/29 18:38:35.870, 3, 70.89, 0, 0, 4, 32, 345
2026/08/29 18:38:35.870, 4, 71.71, 0, 0, 4, 34, 345
2026/08/29 18:38:35.870, 5, 71.31, 0, 0, 4, 31, 345
2026/08/29 18:38:35.870, 6, 71.69, 0, 0, 4, 31, 345
2026/08/29 18:38:35.870, 7, 73.70, 0, 0, 4, 29, 345
