timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, clocks.current.sm [MHz]
2026/08/29 19:59:37.402, 0, 72.37, 0, 0, 0, 35, 345
2026/08/29 19:59:37.403, 1, 69.17, 0, 0, 0, 32, 345
2026/08/29 19:59:37.404, 2, 73.58, 0, 0, 0, 30, 345
2026/08/29 19:59:37.404, 3, 70.33, 0, 0, 0, 34, 345
2026/08/29 19:59:37.405, 4, 71.39, 0, 0, 0, 35, 345
2026/08/29 19:59:37.405, 5, 70.66, 0, 0, 0, 32, 345
2026/08/29 19:59:37.406, 6, 70.04, 0, 0, 0, 33, 345
2026/08/29 19:59:37.407, 7, 70.20, 0, 0, 0, 29, 345
2026/08/29 19:59:42.411, 0, 72.30, 0, 0, 0, 35, 345
2026/08/29 19:59:42.411, 1, 69.19, 0, 0, 0, 32, 345
2026/08/29 19:59:42.411, 2, 73.57, 0, 0, 0, 30, 345
2026/08/29 19:59:42.411, 3, 70.29, 0, 0, 0, 34, 345
2026/08/29 19:59:42.411, 4, 71.38, 0, 0, 0, 35, 345
2026/08/29 19:59:42.411, 5, 70.68, 0, 0, 0, 32, 345
2026/08/29 19:59:42.411, 6, 70.04, 0, 0, 0, 33, 345
2026/08/29 19:59:42.411, 7, 70.18, 0, 0, 0, 29, 345
2026/08/29 19:59:47.411, 0, 72.35, 0, 0, 4, 35, 345
2026/08/29 19:59:47.440, 1, 69.22, 0, 0, 4, 32, 345
2026/08/29 19:59:47.440, 2, 73.57, 0, 0, 1, 30, 345
2026/08/29 19:59:47.440, 3, 70.35, 0, 0, 1, 34, 345
2026/08/29 19:59:47.440, 4, 71.39, 0, 0, 1, 35, 345
2026/08/29 19:59:47.440, 5, 70.68, 0, 0, 1, 32, 345
2026/08/29 19:59:47.440, 6, 70.07, 0, 0, 1, 33, 345
2026/08/29 19:59:47.440, 7, 70.15, 0, 0, 1, 29, 345
2026/08/29 19:59:52.441, 0, 72.32, 0, 0, 4, 35, 345
2026/08/29 19:59:52.441, 1, 69.18, 0, 0, 4, 32, 345
2026/08/29 19:59:52.441, 2, 73.60, 0, 0, 4, 30, 345
2026/08/29 19:59:52.441, 3, 70.39, 0, 0, 4, 34, 345
