jv ju
ie ye
ii yi
sii si
cii ci
shii shi
zii zi
iin yin
iing ying
io yo
iong yong
iou you
iu yu
iuan yuan
iue yue
iun yun
ua wa
uai wai
uang wang
uen wen
ueng weng
uu wu
diou diu
jiou jiu
qiou qiu 
xiou xiu 
liou liu
niou niu
duei dui 
tuei tui 
guei gui
kuei kui 
huei hui
zuei zui 
cuei cui 
suei sui
zhuei zhui 
chuei chui 
shuei shui 
duen dun 
tuen tun 
luen lun 
guen gun 
kuen kun 
huen hun
juen jun 
quen qun 
xuen xun 
zuen zun 
cuen cun 
suen sun 
zhuen zhun 
chuen chun 
shuen shun 
ruen run
wuen wen
ruei rui
yiong yong
yie ye
yiao yao
yiou you
wuang wang
puo po
muo mo
wuei wei
wuai wai
