ab abk
bn ben
de deu
fi fin
hu hun
kk kaz
ml mal
nn-NO nno
rw kin
sw swa
ug uig
zh-TW cmn
ar ara
br bre
dv div
fr fra
hy-AM hye
or ory
sah sah
as asm
sat sat
ast ast
az aze
ba bak
bas bas
hsb hsb
kab kab
mk mkd
nl nld
ru rus
sv-SE swe
tw twi
zh-HK cmn
zh-CN cmn
ne-NP nep
bg bul
da dan
be bel
kmr kmr
mn mon
ta tam
uk ukr
ca cat
el ell
fy-NL frr
ia ina
ky kir
mr mar
pa-IN pan
th tha
ur urd
ckb ckb
en eng
ga-IE gle
id ind
lg lga
mrj mrj
pl pol
sc srd
ti tir
uz uzb
cnh cnh
eo epo
gl glg
ig ibo
lt lit
mt mlt
pt por
sk slk
tig tig
vi vie
cs ces
es spa
gn grn
it ita
lv lav
myv myv
rm-sursilv roh
skr skr
tok tok
vot vot
cv chv
et est
ha hau
ja jpn
mdf mdf
nan-tw nan
rm-vallader roh
sl slv
tr tur
yue yue
cy cym
eu eus
hi hin
ka kat
mhr mhr
ro ron
sr srp
tt tat
fa fas
tk tuk
is isl
ko kor
quy quy
yo yor
lo lao
dyu dgd
oc oci
